메뉴,작업자,대분류,중분류(재료1),중분류2(재료2),중분류3(재료3),중분류4(재료4),중분류5(재료5),소분류1(육류 종류만 기재),양식(western) 여부,,,,,
유린기,김도민,튀김류,육류,,,,,닭,,,,,,
스팸구이,김도민,구이류,육류,,,,,돼지,,,,,,
청경채찜,김도민,찜류,채소류,,,,,,,,,,,
오징어순대볶음,김도민,볶음류,어패류,육류,,,,돼지,,,,,,
떡갈비조림,김도민,조림류,육류,,,,,소,,,,,,
미니채소떡갈비,김도민,튀김류,육류,채소류,,,,소,,,,,,
닭데리야끼구이,김도민,구이류,육류,,,,,,,,,,,
비엔나케찹볶음,김도민,볶음류,육류,,,,,돼지,,,,,,
부추생채무침,김도민,무침류,채소류,,,,,,,,,,,
이색전*양념장,김도민,전류,채소류,양념 및 장류,난류,,,,,,,,,
어묵탕,김도민,국탕류,어패류,채소류,,,,,,,,,,
양파장아찌,김도민,장아찌류,채소류,,,,,,,,,,,
단호박달걀찜,김도민,찜류,채소류,난류,,,,,,,,,,
브로콜리숙회*초장,김도민,찜류,채소류,,,,,,,,,,,
건새우아욱국,김도민,국탕류,어패류,채소류,,,,,,,,,,
닭살채소굴소스볶음,김도민,볶음류,육류,채소류,양념 및 장류,,,닭,,,,,,
닭카레볶음,김도민,볶음류,육류,양념 및 장류,채소류,,,닭,,,,,,
다슬기아욱국,김도민,국탕류,어패류,채소류,,,,,,,,,,
오이사과생채,김도민,무침류,채소류,과일류,,,,,,,,,,
*발사믹소스,김도민,,,,,,,,,,,,,
우육비빔냉면,김도민,국수류,육류,면류,,,,소,,,,,,
유채나물,김도민,무침류,채소류,,,,,,,,,,,
시래기들개탕,김도민,국탕류,채소류,,,,,,,,,,,
황태미역국,김도민,국탕류,어패류,해조류,,,,,,,,,,
락교,김도민,장이찌류,채소류,,,,,,,,,,,
연근깨소스무침,김도민,무침류,채소류,양념 및 장류,,,,,,,,,,
호박젓국찌개,김도민,찌개류,채소류,두류,,,,,,,,,,
치커리단감무침,김도민,무침류,채소류,과일류,,,,,,,,,,
쫑상추새콤무침,김도민,무침류,채소류,,,,,,,,,,,
치킨핑거*요거트D,김도민,튀김류,육류,,,,,닭,,,,,,
연두부국,김도민,국탕류,두류,,,,,,,,,,,
어묵국,김도민,국탕류,어패류,,,,,,,,,,,
취나물된장볶음,김도민,볶음류,채소류,양념 및 장류,,,,,,,,,,
표고버섯탕수육,김도민,튀김류,채소류,,,,,,,,,,,
무쌈깻잎,김도민,샐러드류,채소류,,,,,,,,,,,
무초절임,김도민,장아찌류,채소류,,,,,,,,,,,
참치야채전,김도민,전류,어패류,채소류,,,,,,,,,,
치커리유자무침,김도민,무침류,채소류,과일류,,,,,,,,,,
소세지볶음,김도민,볶음류,육류,채소류,,,,,,,,,,
케익,김도민,빵과자류,난류,,,,,,,,,,,
치킨까스김치나베,김도민,국탕류,육류,김치류,,,,,,,,,,
옥수수맛살전,김도민,전류,어패류,채소류,,,,,,,,,,
대패삼겹숙주볶음,김도민,볶음류,육류,채소류,,,,돼지,,,,,,
봉골레파스타,김도민,국수류,어패류,면류,,,,,,,,,,
멸치마늘종볶음,김도민,볶음류,어패류,채소류,,,,,,,,,,
우엉곤약조림,김도민,조림류,채소류,,,,,,,,,,,
아귀지리탕,김도민,국탕류,어패류,,,,,,,,,,,
모듬소세지볶음,김도민,볶음류,육류,채소류,,,,돼지,,,,,,
고등어자반찜,김도민,찜류,어패류,,,,,,,,,,,
두부매콤조림,김도민,조림류,난류,양념 및 장류,,,,,,,,,,
매운오징어국,김도민,국탕류,어패류,,,,,,,,,,,
구운채소,김도민,구이류,채소류,,,,,,,,,,,
쑥갓무침,김도민,무침류,채소류,,,,,,,,,,,
인기가요샌드,김도민,빵과자류,난류,채소류,,,,,,,,,,
작은밥,김도민,밥류,곡류,,,,,,,,,,,
새우튀김우동,김도민,국수류,면류,어패류,,,,,,,,,,
춘권*칠리소스,김도민,튀김류,난류,채소류,,,,,,,,,,
삼치엿장구이,김도민,구이류,어패류,양념 및 장류,,,,,,,,,,
수제보쌈김치,김도민,김치류,육류,김치류,,,,돼지,,,,,,
양념고추지무침,김도민,무침류,채소류,양념 및 장류,,,,,,,,,,
치커리사과무침,김도민,무침류,채소류,사과류,양념 및 장류,,,,,,,,,
등갈비묵은지찜,김도민,찜류,육류,김치류,,,,돼지,,,,,,
숙주나물무침,김도민,무침류,채소류,양념 및 장류,,,,,,,,,,
미니팥칼국수,김도민,국수류,면류,채소류,,,,,,,,,,
계란찜,김도민,찜류,난류,채소류,,,,,,,,,,
야채샌드,김도민,빵과자류,두류,채소류,,,,,,,,,,
조랭이떡미역국,김도민,국탕류,해조류,떡류,,,,,,,,,,
우불고기,김도민,볶음류,육류,,,,,소,,,,,,
생선까스*타르타르D,김도민,튀김류,어패류,양념 및 장류,,,,,,,,,,
나가사키면&김,김도민,국수류,면류,,,,,,,,,,,
바나나시나몬토스트,김도민,빵과자류,난류,과일류,,,,,,,,,,
오이생채,김도민,무침류,채소류,,,,,,,,,,,
얼갈이나물,김도민,무침류,채소류,,,,,,,,,,,
꽁치감자조림,김도민,조림류,어패류,채소류,,,,,,,,,,
게살채소죽,김도민,죽류,어패류,채소류,,,,,,,,,,
나가사끼짬뽕,김도민,국탕류,면류,,,,,,,,,,,
김치콩나물국,김도민,국탕류,채소류,김치류,,,,,,,,,,
매운감자양파국,김도민,국탕류,채소류,,,,,,,,,,,
김치볶음,김도민,볶음류,김치류,,,,,,,,,,,
두부젓국찌개,김도민,찌개류,두류,,,,,,,,,,,
에그포테이토샌드위치,김도민,빵과자류,난류,채소류,,,,,,,,,,
양상추샐러드*오렌지D,김도민,샐러드류,채소류,과일류,,,,,,,,,,
조갯살미역국,김도민,국탕류,해조류,어패류,,,,,,,,,,
핫도그,김도민,빵과자류,육류,,,,,돼지,,,,,,
수제오이피클,김도민,장아찌류,채소류,,,,,,,,,,,
오삼불고기,김도민,볶음류,육류,어패류,,,,소,,,,,,
소시지감자볶음,김도민,볶음류,육류,채소류,,,,돼지,,,,,,
*,김윤수,,,,,,,,,,,,,
볶음밥*짜장소스,김윤수,밥류,곡류,채소류,,,,,,,,,,
브로컬리*초장,김윤수,찜류,양념 및 장류,채소류,,,,,,,,,,
<12명,김윤수,,,,,,,,,,,,,
참나물두부샐러드,김윤수,샐러드류,두류,채소류,,,,,,,,,,
고등어양념구이,김윤수,구이류,어패류,양념 및 장류,,,,,,,,,,
갈비만두,김윤수,찜류,육류,난류,,,,돼지,,,,,,
팽이장국,김윤수,국탕류,채소류,양념 및 장류,,,,,,,,,,
짜사이채무침,김윤수,무침류,채소류,양념 및 장류,,,,,,,,,,
식빵피자,김윤수,빵과자류,난류,채소류,육류,,,돼지,,,,,,
소고기샤브국,김윤수,국탕류,육류,채소류,,,,소,,,,,,
연두부계란찜,김윤수,찜류,난류,두류,,,,,,,,,,
통배추겉절이,김윤수,김치류,김치류,채소류,,,,,,,,,,
소고기무우국,김윤수,국탕류,육류,채소류,,,,소,,,,,,
밤크림빵,김윤수,빵과자류,난류,채소류,,,,,,,,,,
두부커틀릿,김윤수,튀김류,난류,두류,,,,,,,,,,
크래미샌드,김윤수,빵과자류,어패류,난류,,,,,,,,,,
돈육간장강정,김윤수,튀김류,육류,,,,,돼지,,,,,,
꽁치김치조림,김윤수,조림류,어패류,김치류,,,,,,,,,,
삼겹살마늘볶음밥,김윤수,밥류,육류,채소류,곡류,,,돼지,,,,,,
냉이국,김윤수,국탕류,해초류,,,,,,,,,,,
시래기된장국,김윤수,국탕류,채소류,양념 및 장류,,,,,,,,,,
양배추샐러드,김윤수,샐러드류,채소류,,,,,,,,,,,
소고기무국,김윤수,국탕류,육류,채소류,,,,소,,,,,,
소고기매운국,김윤수,국탕류,육류,,,,,소,,,,,,
콩나물굴소스볶음,김윤수,볶음류,채소류,양념 및 장류,,,,,,,,,,
단호박팥찜,김윤수,찜류,채소류,두류,,,,,,,,,,
치커리생채,김윤수,무침류,채소류,,,,,,,,,,,
물만두국,김윤수,국탕류,육류,난류,,,,돼지,,,,,,
푸실리샐러드,김윤수,샐러드류,채소류,,,,,,,,,,,
홍초콩나물국,김윤수,국탕류,채소류,,,,,,,,,,,
모듬튀김*칠리소스,김윤수,튀김류,육류,양념 및 장류,면류,,,돼지,,,,,,
돈육잡채,김윤수,국수류,육류,면류,,,,돼지,,,,,,
하와이안샐러드,김윤수,샐러드류,채소류,,,,,,,,,,,
매콤시래기된장지짐,김윤수,전류,채소류,양념 및 장류,두류,,,,,,,,,
바나나샌드,김윤수,빵과자류,과일류,난류,,,,,,,,,,
모닝샌드위치,김윤수,빵과자류,난류,,,,,,,,,,,
콩나물냉국,김윤수,국탕류,채소류,,,,,,,,,,,
카레찜닭,김윤수,찜류,육류,양념 및 장류,,,,닭,,,,,,
상추겉절이,김윤수,김치류,김치류,,,,,,,,,,,
김말이&만두튀김,김윤수,튀김류,채소류,육류,면류,,,돼지,,,,,,
아오리사과,김윤수,단품류,과일류,,,,,,,,,,,
해물볶음밥,김윤수,밥류,어패류,채소류,곡류,,,,,,,,,
김치미나리전,김윤수,전류,채소류,난류,김치류,,,,,,,,,
두부양념구이,김윤수,구이류,두류,양념 및 장류,,,,,,,,,,
"알배기,케일숙쌈*쌈장",김윤수,찜류,채소류,양념 및 장류,,,,,,,,,,
차돌비빔국수,김윤수,국수류,육류,면류,,,,소,,,,,,
차돌된장찌개,김윤수,찌개류,육류,양념 및 장류,,,,소,,,,,,
커피콩빵,김윤수,빵과자류,난류,채소류,,,,,,,,,,
돈육고추장찌개,김윤수,찌개류,육류,양념 및 장류,,,,돼지,,,,,,
묵은지삼겹살찜,김윤수,찜류,육류,김치류,,,,돼지,,,,,,
매운콩나물국,김윤수,국탕류,채소류,,,,,,,,,,,
해물죽,김윤수,죽류,어패류,곡류,,,,,,,,,,
수제돈까스*칠리소스,김윤수,튀김류,육류,양념 및 장류,,,,돼지,,,,,,
콩나물밥,김윤수,밥류,채소류,곡류,,,,,,,,,,
감자샌드,김윤수,빵과자류,난류,채소류,,,,,,,,,,
어묵깻잎전,김윤수,전류,채소류,어패류,,,,,,,,,,
부추호박전,김윤수,전류,채소류,난류,,,,,,,,,,
크로아상샌드위치,김윤수,빵과자류,난류,,,,,,,,,,,
살라미샌드위치,김윤수,빵과자류,채소류,육류,,,,돼지,,,,,,
채소스틱,김윤수,샐러드류,채소류,,,,,,,,,,,
김치필라프,김윤수,밥류,곡류,김치류,,,,,,,,,,
숙주나물,김윤수,무침류,채소류,,,,,,,,,,,
쇠고기숙주규동덮밥,김윤수,밥류,육류,채소류,,,,소,,,,,,
임연수구이,김윤수,구이류,애퓰,,,,,,,,,,,
닭가슴살장조림,김윤수,조림류,육류,양념 및 장류,,,,닭,,,,,,
닭간장볶음,김윤수,볶음류,육류,양념 및 장류,,,,닭,,,,,,
스팸주먹밥,김윤수,밥류,육류,곡류,,,,돼지,,,,,,
짜샤이볶음,김윤수,볶음류,채소류,,,,,,,,,,,
만둣국,김윤수,국탕류,난류,면류,,,,,,,,,,
명엽채볶음,김윤수,볶음류,채소류,,,,,,,,,,,
모닝롤,김윤수,빵과자류,난류,,,,,,,,,,,
시금치핫케익,김윤수,빵과자류,난류,채소류,,,,,,,,,,
쇠고기미역국,김윤수,국탕류,해초류,육류,,,,소,,,,,,
새우완자전*케찹,김윤수,전류,어패류,양념 및 장류,난류,,,,,,,,,
황태무채국,김윤수,국탕류,어패류,채소류,,,,,,,,,,
치즈볼,김윤수,튀김류,,,,,,,,,,,,
양배추피클,김윤수,장아찌류,채소류,,,,,,,,,,,
바베큐함박찹스테이크,김윤수,구이류,육류,양념 및 장류,,,,소,,,,,,
계란빵,김윤수,빵과자류,난류,,,,,,,,,,,
햄야채볶음,김윤수,볶음류,육류,채소류,,,,돼지,,,,,,
흑미쌀찐빵,김윤수,빵과자류,난류,곡류,,,,,,,,,,
오징어무침,김윤수,무침류,어패류,양념 및 장류,,,,,,,,,,
감자치즈구이,김윤수,구이류,채소류,,,,,,,,,,,
블루베리크림치즈베이글,김윤수,빵과자류,난류,과일류,,,,,,,,,,
근대고추장무침,김윤수,무침류,채소류,양념 및 장류,,,,,,,,,,
치커리귤무침,김윤수,무침류,채소류,과일류,양념 및 장류,,,,,,,,,
상추부추무침,김윤수,무침류,채소류,양념 및 장류,,,,,,,,,,
꿔바로우탕수육*소스,김윤수,튀김류,육류,양념 및 장류,,,,돼지,,,,,,
양념치킨,김윤수,튀김류,육류,,,,,닭,,,,,,
페퍼로니치즈피자,김윤수,빵과자류,난류,육류,,,,돼지,,,,,,
감자채햄볶음,김윤수,볶음류,육류,채소류,,,,돼지,,,,,,
올방개묵무침,김윤수,무침류,묵류,양념 및 장류,,,,,,,,,,
당면채소무침,김윤수,무침류,면류,채소류,양념 및 장류,,,,,,,,,
바나나베이비샐러드,김윤수,샐러드류,과일류,채소류,,,,,,,,,,
시금치초장무침,김윤수,무침류,채소류,양념 및 장류,,,,,,,,,,
물파래초무침,김윤수,무침류,해초류,양념 및 장류,,,,,,,,,,
청경채사과무침,김윤수,무침류,과일류,채소류,양념 및 장류,,,,,,,,,
도토리묵무침,김윤수,무침류,묵류,양념 및 장류,,,,,,,,,,
풋고추튀김,김윤수,튀김류,채소류,,,,,,,,,,,
옛날왕돈까스,김윤수,튀김류,육류,,,,,돼지,,,,,,
레몬탕수육,김윤수,튀김류,육류,과일류,,,,돼지,,,,,,
버섯탕수,김윤수,튀김류,채소류,,,,,,,,,,,
짬뽕*생면,김윤수,국탕류,면류,,,,,,,,,,,
땅콩샌드,김윤수,빵과자류,난류,채소류,,,,,,,,,,
꽃게된장찌개,김윤수,찌개류,어패류,양념 및 장류,,,,,,,,,,
양배추쌈*쌈장,김윤수,찜류,채소류,양념 및 장류,,,,,,,,,,
삼치데리야끼구이,김윤수,구이류,어패류,,,,,,,,,,,
유부장국,김윤수,국탕류,두류,양념 및 장류,,,,,,,,,,
교자만두,김윤수,찜류,육류,난류,면류,,,돼지,,,,,,
계란국,김윤수,국탕류,난류,,,,,,,,,,,
모둠묵샐러드,김윤수,샐러드류,묵류,,,,,,,,,,,
순대들깨볶음,김윤수,볶음류,채소류,,,,,,,,,,,
왕만두찜*양념장,김윤수,찜류,난류,육류,양념 및 장류,,,돼지,,,,,,
쇠고기버섯국,김윤수,국탕류,육류,채소류,,,,소,,,,,,
생과일플레인샐러드,김윤수,샐러드류,과일류,,,,,,,,,,,
시래기지짐,김윤수,전류,채소류,난류,,,,,,,,,,
옥수수스프,김윤수,죽류,채소류,,,,,,,,,,,
찜닭,김윤수,찜류,육류,,,,,닭,,,,,,
알탕,김윤수,국탕류,난류,,,,,,,,,,,
미니김밥*겨자장,김윤수,밥류,곡류,양념 및 장류,,,,,,,,,,
햄전&케찹,김윤수,전류,육류,난류,양념 및 장류,,,돼지,,,,,,
쌈무,김윤수,장아찌류,채소류,,,,,,,,,,,
민물새우찌개,김윤수,찌개류,어패류,,,,,,,,,,,
무채맑은국,김윤수,국탕류,채소류,,,,,,,,,,,
모닝에그빵,김윤수,빵과자류,난류,,,,,,,,,,,
크렌베리멸치볶음,김윤수,볶음류,어패류,과일류,,,,,,,,,,
감자채피망볶음,김윤수,볶음류,채소류,,,,,,,,,,,
열무비빔국수,김윤수,국수류,면류,김치류,양념 및 장류,,,,,,,,,
김치전,김윤수,전류,김치류,난류,,,,,,,,,,
한식잡채,김윤수,볶음류,면류,,,,,,,,,,,
오이맛살볶음,김윤수,볶음류,어패류,채소류,,,,,,,,,,
브로콜리깨소스무침,김윤수,무침류,채소류,양념 및 장류,,,,,,,,,,
연근튀김*칠리소스,김윤수,튀김류,채소류,양념 및 장류,,,,,,,,,,
콘치즈,김윤수,구이류,채소류,,,,,,,,,,,
제육볶음,김윤수,볶음류,육류,,,,,돼지,,,,,,
열무나물무침,김윤수,무침류,채소류,,,,,,,,,,,
오이도라지생채,김윤수,무침류,채소류,,,,,,,,,,,
참치파개장,김윤수,국탕류,어패류,채소류,,,,,,,,,,
아몬드멸치볶음,김윤수,볶음류,어패류,채소류,,,,,,,,,,
애호박새우젓나물,김윤수,무침류,어패류,채소류,,,,,,,,,,
시금치나물,김윤수,무침류,채소류,,,,,,,,,,,
손수제비국,김윤수,국탕류,면류,,,,,,,,,,,
양념깻잎찜,김윤수,찜류,채소류,양념 및 장류,,,,,,,,,,
채소계란찜,김윤수,찜류,난류,채소류,,,,,,,,,,
등갈비바베큐조림,김윤수,조림류,육류,양념 및 장류,,,,돼지,,,,,,
닭살겨자채,김윤수,무침류,육류,채소류,,,,닭,,,,,,
매운어묵국,김윤수,국탕류,어패류,,,,,,,,,,,
감자양파국,김윤수,국탕류,채소류,,,,,,,,,,,
수제등심찹쌀꿔바로우,김윤수,튀김류,육류,,,,,돼지,,,,,,
가자미유린기,김윤수,튀김류,육류,,,,,닭,,,,,,
시금치팬케익,김윤수,빵과자류,난류,채소류,,,,,,,,,,
맑은국,김윤수,국탕류,채소류,,,,,,,,,,,
야채소시지전,김윤수,전류,육류,채소류,,,,돼지,,,,,,
수제무말랭이무침,김윤수,무침류,채소류,,,,,,,,,,,
닭개장,김윤수,국탕류,육류,,,,,닭,,,,,,
천도복숭아,김윤수,단품류,과일류,,,,,,,,,,,
닭곰탕,김윤수,국탕류,채소류,,,,,닭,,,,,,
미나리숙주무침,김윤수,무침류,채소류,,,,,,,,,,,
오징어무국,김윤수,국탕류,어패류,채소류,,,,,,,,,,
도토리묵냉국,김윤수,국탕류,묵류,,,,,,,,,,,
해초무침,김윤수,무침류,해초류,,,,,,,,,,,
수제어묵볶음,김윤수,볶음류,어패류,,,,,,,,,,,
고구마까스*소스,김윤수,튀김류,채소류,양념 및 장류,,,,,,,,,,
야채튀김,김윤수,튀김류,채소류,,,,,,,,,,,
팟시금치무쌉,김윤수,찜류,채소류,,,,,,,,,,,
수제맛쵸킹탕수육,김윤수,튀김류,육류,채소류,,,,돼지,,,,,,
숙주미나리잡채,김윤수,볶음류,면류,채소류,,,,,,,,,,
김구이*양념장,김윤수,구이류,해초류,양념 및 장류,,,,,,,,,,
새우살야채죽,김윤수,죽류,어패류,채소류,곡류,,,,,,,,,
꽃게탕,김윤수,국탕류,어패류,,,,,,,,,,,
마늘바게뜨,김윤수,빵과자류,난류,채소류,,,,,,,,,,
미소시루,김윤수,국탕류,두류,,,,,,,,,,,
고추짜장,김윤수,볶음류,양념 및 장류,채소류,,,,,,,,,,
자반김,김윤수,단품류,해초류,,,,,,,,,,,
또띠아견과칩,김윤수,빵과자류,곡류,,,,,,,,,,,
사천탕수육,김윤수,튀김류,육류,,,,,돼지,,,,,,
양송이죽,김윤수,죽류,채소류,곡류,,,,,,,,,,
어묵우동,김윤수,국수류,어패류,,,,,,,,,,,
칠리베이비크랩,김윤수,튀김류,어패류,양념 및 장류,,,,,,,,,,
모둠사태조림,김윤수,조림류,육류,양념 및 장류,,,,소,,,,,,
매생이국,김윤수,국탕류,해초류,,,,,,,,,,,
자반고등어구이,김윤수,구이류,어패류,,,,,,,,,,,
재첩국,김윤수,국탕류,어패류,,,,,,,,,,,
갈치조림,김윤수,조림류,어패류,양념 및 장류,,,,,,,,,,
꼬들단무지무침,김윤수,무침류,채소류,양념 및 장류,,,,,,,,,,
팽이버섯장국,김윤수,국탕류,채소류,,,,,,,,,,,
방풍나물무침,김윤수,무침류,채소류,,,,,,,,,,,
흑미밥,김윤수,밥류,곡류,,,,,,,,,,,
아귀지리,김윤수,국탕류,어패류,,,,,,,,,,,
고등어카레구이,김윤수,구이류,어패류,양념 및 장류,,,,,,,,,,
딸기와플,김윤수,빵과자류,과일류,난류,,,,,,,,,,
장수제비,김윤수,국탕류,면류,,,,,,,,,,,
유채나물무침,김윤수,무침류,채소류,양념 및 장류,,,,,,,,,,
북어짬뽕국,김윤수,국탕류,어류,채소류,,,,,,,,,,
비엔나야채볶음,김윤수,볶음류,육류,채소류,,,,돼지,,,,,,
오복지,김윤수,장아찌류,채소류,,,,,,,,,,,
버섯영양밥*우렁양념장,김윤수,밥류,어패류,양념 및 장류,채소류,곡류,,,,,,,,
배추국,김윤수,국탕류,채소류,,,,,,,,,,,
가정의날,김윤수,,,,,,,,,,,,,
우삼겹부대찌개,김윤수,찌개류,육류,채소류,,,,소,,,,,,
류산슬,김윤수,볶음류,육류,어패류,,,,돼지,,,,,,
왕만두,김윤수,찜류,난류,면류,,,,,,,,,,
모둠장조림,김윤수,조림류,육류,양념 및 장류,,,,소,,,,,,
콘치즈오븐구이,김윤수,구이류,난류,,,,,,,,,,,
배추된장국,김윤수,국탕류,채소류,양념 및 장류,,,,,,,,,,
새우완자전,김윤수,전류,어패류,,,,,,,,,,,
임연수엿장조림,김윤수,조림류,어패류,양념 및 장류,,,,,,,,,,
새송이버섯죽,김윤수,죽류,채소류,곡류,,,,,,,,,,
콩가루배춧국,김윤수,국탕류,채소류,두류,,,,,,,,,,
오이미역무침,김윤수,무침류,채소류,해초류,양념 및 장류,,,,,,,,,
돈갈비찜,김윤수,찜류,육류,,,,,돼지,,,,,,
돈육두릅장조림,김윤수,조림류,육류,채소류,,,,돼지,,,,,,
모듬쌈*쌈장,김윤수,샐러드류,채소류,양념 및 장류,,,,,,,,,,
감자스프,김윤수,죽류,난류,채소류,,,,,,,,,,
미역나물,김윤수,무침류,해초류,,,,,,,,,,,
목살스테이크,김윤수,구이류,육류,,,,,돼지,,,,,,
꽁보리밥*볶음고추장,김윤수,밥류,곡류,양념 및 장류,,,,,,,,,,
감자전,김윤수,전류,채소류,난류,,,,,,,,,,
씨앗콩자반,김윤수,볶음류,채소류,,,,,,,,,,,
명엽체고추장볶음,김윤수,볶음류,채소류,양념 및 장류,,,,,,,,,,
고구마연근맛탕,김윤수,튀김류,채소류,,,,,,,,,,,
호박새우젓국,김윤수,국탕류,어패류,채소류,,,,,,,,,,
버섯맑은국,김윤수,국탕류,채소류,,,,,,,,,,,
머위나물무침,김윤수,무침류,채소류,,,,,,,,,,,
인절미샌드,김윤수,빵과자류,난류,떡류,,,,,,,,,,
치즈시즈닝치킨,김윤수,튀김류,육류,양념 및 장류,,,,닭,,,,,,
미트볼케찹조림,김윤수,조림류,육류,양념 및 장류,,,,돼지,,,,,,
구슬떡볶이,김윤수,볶음류,떡류,,,,,,,,,,,
골뱅이무침,김윤수,무침류,어패류,양념 및 장류,,,,,,,,,,
바지락국,김윤수,국탕류,어패류,,,,,,,,,,,
옥수수콘치즈,김윤수,구이류,채소류,난류,,,,,,,,,,
청양콩나물국,김윤수,국탕류,채소류,,,,,,,,,,,
치즈베이글,김윤수,빵과자류,난류,,,,,,,,,,,
크루통크림스프,김윤수,죽류,난류,,,,,,,,,,,
도토리묵*양념장,김윤수,무침류,양념 및 장류,,,,,,,,,,,
녹두죽,김윤수,죽류,곡류,,,,,,,,,,,
숯불양념꼬치어묵,김윤수,구이류,어패류,양념 및 장류,,,,,,,,,,
들깨버섯탕,김윤수,국탕류,채소류,,,,,,,,,,,
오이지무침,김윤수,무침류,채소류,,,,,,,,,,,
충무김밥,김윤수,밥류,채소류,곡류,,,,,,,,,,
건새우아욱된장국,김윤수,국탕류,어패류,양념 및 장류,,,,,,,,,,
조랭이미역국,김윤수,국탕류,해초류,,,,,,,,,,,
롤케익,김윤수,빵과자류,난류,,,,,,,,,,,
바나나팬케익,김윤수,빵과자류,난류,,,,,,,,,,,
코다리무조림,김윤수,조림류,어패류,,,,,,,,,,,
열무된장나물,김윤수,무침류,채소류,,,,,,,,,,,
소고기콜라비조림,김윤수,조림류,육류,채소류,,,,소,,,,,,
감자치즈오븐구이,김윤수,구이류,채소류,난류,,,,,,,,,,
북어해장국,김윤수,국탕류,어패류,,,,,,,,,,,
맑은버섯육개장,김윤수,국탕류,채소류,,,,,,,,,,,
메추리알장조림,김윤수,조림류,난류,,,,,,,,,,,
오꼬노미야끼,김윤수,전류,난류,어패류,,,,,,,,,,
돈사태떡찜,김윤수,찜류,육류,떡류,,,,돼지,,,,,,
오이맛살냉채,김윤수,무침류,채소류,어패류,,,,,,,,,,
마파두부덮밥,김윤수,밥류,두류,곡류,,,,,,,,,,
크래미오이보트샐러드,김윤수,샐러드류,채소류,,,,,,,,,,,
비프스파게티,김윤수,국수류,면류,육류,,,,소,,,,,,
순살깐풍기,김윤수,튀김류,육류,,,,,닭,,,,,,
미나리숙주나물,김윤수,무침류,채소류,,,,,,,,,,,
생크림단팥빵,김윤수,빵과자류,난류,두류,,,,,,,,,,
깻잎지,김윤수,무침류,채소류,,,,,,,,,,,
바지락된장찌개,김윤수,찌개류,어패류,양념 및 장류,,,,,,,,,,
참치김치찌개,김윤수,찌개류,어패류,김치류,,,,,,,,,,
햄에그치즈토스트,김윤수,빵과자류,육류,난류,곡류,,,돼지,,,,,,
할라피뇨멸치주먹밥,김윤수,밥류,채소류,곡류,어패류,,,,,,,,,
꽁치한마리구이,김윤수,구이류,어패류,,,,,,,,,,,
대구지리탕,김윤수,국탕류,어패류,채소류,,,,,,,,,,
쇠고기해장국,김윤수,국탕류,육류,채소류,,,,소,,,,,,
소고기스프,김윤수,죽류,육류,,,,,소,,,,,,
유부김칫국,김윤수,국탕류,두류,김치류,,,,,,,,,,
치즈닭갈비,김윤수,구이류,육류,채소류,,,,닭,,,,,,
모둠버섯초무침,김윤수,무침류,채소류,,,,,,,,,,,
메추리알풋고추조림,김윤수,조림류,난류,채소류,,,,,,,,,,
야채죽,김윤수,죽류,채소류,곡류,,,,,,,,,,
페퍼로니피자,김윤수,빵과자류,육류,난류,곡류,,,돼지,,,,,,
몽골식돈육볶음,김윤수,볶음류,육류,채소류,,,,돼지,,,,,,
이색묵*양념장,김윤수,무침류,묵류,양념 및 장류,,,,,,,,,,
오이사과무침,김윤수,무침류,채소류,과일류,,,,,,,,,,
곰피초장,김윤수,샐러드류,양념 및 장류,채소류,,,,,,,,,,
모닝사라다빵,김윤수,빵과자류,난류,곡류,채소류,,,,,,,,,
사과양상추샐러드,김윤수,샐러드류,과일류,채소류,,,,,,,,,,
피자빵,김윤수,빵과자류,육류,난류,곡류,,,돼지,,,,,,
